P.s,Item,Cond,Antecedent,Consequent,Premise,Conclusion,CondType
16,2,7,776,1105,1572,3442,CF
16,3,6,971,2186,2014,3953,ACF
16,4,5,1153,2061,1142,1059,MPF
16,5,4,1286,959,422,1755,DB
16,6,3,839,,1819,4786,CB
16,7,2,1391,732,548,3250,AC
16,8,1,1965,1497,410,1278,MP
16,9,8,1268,1202,1841,723,DF
16,10,7,1136,2595,1984,2099,CF
16,11,6,2191,2147,1052,,ACF
16,12,5,1277,1595,7658,947,MPF
16,13,4,1149,2554,2407,687,DB
16,14,3,1238,1131,1121,4706,CB
16,15,2,1721,764,547,3164,AC
16,16,1,1280,539,544,6569,MP
16,17,8,2689,1242,577,4178,DF
16,18,7,2250,1478,1217,7449,CF
16,19,6,2062,2745,2818,1371,ACF
16,20,5,2164,1650,1063,920,MPF
16,21,4,927,1133,464,4470,DB
16,22,3,1031,1628,504,1629,CB
16,23,2,1254,1218,459,3329,AC
16,24,1,1300,918,4352,627,MP
16,25,8,2176,1718,613,3945,DF
16,26,7,1396,1379,1712,,CF
16,27,6,1910,954,1755,1676,ACF
16,28,5,1713,1693,1442,,MPF
16,29,4,1434,635,526,5008,DB
16,30,3,1231,1162,407,2988,CB
16,31,2,1606,1063,567,1935,AC
16,32,1,1624,1666,950,144,MP
17,1,1,495,1739,674,1315,MP
17,2,8,385,2208,621,1875,DF
17,3,7,522,578,761,1680,CF
17,4,6,448,791,1002,724,ACF
17,5,5,1112,892,623,976,MPF
17,6,4,558,719,726,3391,DB
17,7,3,557,780,479,,CB
17,8,2,801,1371,974,4713,AC
17,9,1,649,2933,445,507,MP
17,10,8,422,610,690,1834,DF
17,11,7,369,848,1629,2471,CF
17,12,6,461,830,771,1083,ACF
17,13,5,453,1997,686,1187,MPF
17,14,4,565,1127,2094,1587,DB
17,15,3,703,689,407,10533,CB
17,16,2,2318,1116,487,5426,AC
17,17,1,386,1066,426,3467,MP
17,18,8,603,815,832,1084,DF
17,19,7,697,767,1577,6138,CF
17,20,6,685,5834,1504,1872,ACF
17,21,5,651,1120,1608,1433,MPF
17,22,4,400,919,1635,1032,DB
17,23,3,1300,954,888,2434,CB
17,24,2,687,721,528,1827,AC
17,25,1,802,929,443,1579,MP
17,26,8,397,1535,773,3892,DF
17,27,7,609,813,522,1161,CF
17,28,6,594,553,728,,ACF
17,29,5,524,1012,597,916,MPF
17,30,4,420,644,603,2210,DB
17,31,3,414,791,426,1663,CB
17,32,2,670,911,1077,3151,AC
18,1,2,375,986,1037,3495,AC
18,2,1,678,1158,1148,3681,MP
18,3,8,523,1166,1095,656,DF
18,4,7,392,1422,1028,1080,CF
18,5,6,850,972,985,1735,ACF
18,6,5,673,1045,1344,2193,MPF
18,7,4,1168,1307,2298,12144,DB
18,8,3,798,754,664,2529,CB
18,9,2,427,1315,748,1279,AC
18,10,1,772,1421,456,1003,MP
18,11,8,912,1280,847,1670,DF
18,12,7,424,1616,1735,2093,CF
18,13,6,657,1579,1686,7913,ACF
18,14,5,657,1477,1204,5704,MPF
18,15,4,966,790,732,2628,DB
18,16,3,475,3853,759,2232,CB
18,17,2,755,804,1324,1576,AC
18,18,1,637,880,1217,1042,MP
