P.s,Item,Cond,Antecedent,Consequent,Premise,Conclusion,CondType
17,24,2,0,0,0,1,AC
17,25,1,0,0,0,1,MP
17,26,8,0,0,0,1,DF
17,27,7,0,0,0,0,CF
17,28,6,0,0,0,1,ACF
17,29,5,0,1,0,1,MPF
17,30,4,0,0,0,1,DB
17,31,3,0,0,0,1,CB
17,32,2,0,0,1,1,AC
18,1,2,0,0,0,1,AC
18,2,1,0,0,1,1,MP
18,3,8,0,1,0,0,DF
18,4,7,0,1,0,1,CF
18,5,6,0,0,0,1,ACF
18,6,5,0,0,1,1,MPF
18,7,4,0,0,1,1,DB
18,8,3,0,0,0,1,CB
18,9,2,0,0,0,1,AC
18,10,1,0,0,0,1,MP
18,11,8,0,0,0,1,DF
18,12,7,0,0,0,1,CF
18,13,6,0,1,0,1,ACF
18,14,5,0,0,1,1,MPF
18,15,4,0,0,0,1,DB
18,16,3,0,1,0,1,CB
18,17,2,0,0,0,1,AC
18,18,1,0,0,1,1,MP
18,19,8,0,1,0,1,DF
18,20,7,0,1,1,1,CF
18,21,6,0,0,0,1,ACF
18,22,5,0,0,1,1,MPF
18,23,4,0,0,0,0,DB
18,24,3,0,0,0,1,CB
18,25,2,0,1,0,1,AC
18,26,1,0,0,0,1,MP
18,27,8,0,0,0,1,DF
18,28,7,0,1,0,1,CF
18,29,6,0,0,1,1,ACF
18,30,5,0,0,0,1,MPF
18,31,4,0,0,0,0,DB
18,32,3,0,0,0,0,CB
19,1,3,0,0,0,1,CB
19,2,2,0,0,0,1,AC
19,3,1,0,1,0,1,MP
19,4,8,0,0,0,1,DF
19,5,7,0,0,0,0,CF
19,6,6,0,1,0,1,ACF
19,7,5,0,0,1,1,MPF
19,8,4,0,0,1,1,DB
19,9,3,0,0,1,0,CB
19,10,2,0,1,0,1,AC
19,11,1,0,0,0,1,MP
19,12,8,0,1,0,1,DF
19,13,7,0,1,1,1,CF
19,14,6,0,1,1,1,ACF
19,15,5,0,0,0,1,MPF
19,16,4,0,0,0,1,DB
19,17,3,0,1,0,0,CB
19,18,2,0,1,1,0,AC
19,19,1,0,0,0,0,MP
19,20,8,0,0,0,0,DF
19,21,7,0,0,0,1,CF
19,22,6,0,1,0,1,ACF
19,23,5,0,0,0,1,MPF
19,24,4,0,1,0,1,DB
19,25,3,0,0,1,0,CB
19,26,2,0,1,0,1,AC
19,27,1,0,1,0,0,MP
19,28,8,0,0,0,0,DF
19,29,7,0,1,0,1,CF
19,30,6,0,0,1,0,ACF
19,31,5,0,1,0,1,MPF
19,32,4,0,1,0,0,DB
20,1,4,0,0,0,1,DB
20,2,3,0,0,1,1,CB
20,3,2,0,0,1,1,AC
20,4,1,0,0,0,1,MP
20,5,8,0,1,1,1,DF
20,6,7,0,0,1,1,CF
20,7,6,0,0,1,1,ACF
20,8,5,0,0,1,1,MPF
20,9,4,0,0,0,1,DB
20,10,3,0,1,0,1,CB
20,11,2,0,0,0,1,AC
20,12,1,0,0,0,0,MP
20,13,8,0,0,0,0,DF
20,14,7,0,0,1,1,CF
20,15,6,0,0,0,1,ACF
20,16,5,0,1,1,1,MPF
20,17,4,0,0,0,1,DB
20,18,3,0,0,0,1,CB
20,19,2,0,0,1,1,AC
20,20,1,0,0,1,1,MP
20,21,8,0,1,0,0,DF
20,22,7,0,0,1,1,CF
20,23,6,0,1,1,1,ACF
20,24,5,0,0,0,1,MPF
20,25,4,0,1,1,1,DB
20,26,3,0,0,0,0,CB
20,27,2,0,1,1,1,AC
20,28,1,0,0,1,1,MP
20,29,8,0,0,1,1,DF
20,30,7,0,0,1,1,CF
20,31,6,0,0,0,1,ACF
20,32,5,0,0,1,1,MPF
21,1,5,0,1,0,1,MPF
21,2,4,0,0,1,1,DB
21,3,3,0,0,0,0,CB
21,4,2,0,1,0,0,AC
21,5,1,0,0,0,1,MP
21,6,8,0,1,0,1,DF
21,7,7,0,0,1,1,CF
21,8,6,0,0,1,1,ACF
21,9,5,0,0,1,1,MPF
21,10,4,0,0,0,1,DB
21,11,3,0,0,0,1,CB
21,12,2,0,1,1,1,AC
21,13,1,0,0,0,1,MP
21,14,8,0,0,1,0,DF
21,15,7,0,1,0,1,CF
21,16,6,0,0,1,1,ACF
21,17,5,0,1,0,1,MPF
21,18,4,0,0,0,1,DB
21,19,3,0,1,0,1,CB
21,20,2,0,1,0,0,AC
21,21,1,0,0,0,1,MP
21,22,8,0,1,0,1,DF
21,23,7,0,0,1,1,CF
21,24,6,0,1,1,0,ACF
21,25,5,0,0,1,1,MPF
21,26,4,0,1,0,1,DB
21,27,3,0,0,0,1,CB
21,28,2,0,1,0,1,AC
21,29,1,0,1,1,1,MP
21,30,8,0,0,1,1,DF
21,31,7,0,1,1,0,CF
21,32,6,0,1,1,1,ACF
22,1,6,0,1,1,0,ACF
22,2,5,0,0,0,1,MPF
22,3,4,0,1,0,1,DB
22,4,3,0,0,0,0,CB
22,5,2,0,0,0,1,AC
22,6,1,0,0,1,0,MP
22,7,8,0,1,0,1,DF
22,8,7,0,1,0,1,CF
22,9,6,0,1,1,0,ACF
22,10,5,0,0,0,0,MPF
22,11,4,0,1,0,1,DB
22,12,3,0,0,0,0,CB
22,13,2,0,1,0,1,AC
22,14,1,0,0,1,0,MP
22,15,8,0,1,0,1,DF
22,16,7,0,0,1,1,CF
22,17,6,0,0,1,1,ACF
22,18,5,0,0,1,0,MPF
22,19,4,0,0,0,1,DB
22,20,3,0,0,0,0,CB
22,21,2,0,1,0,1,AC
22,22,1,0,0,0,0,MP
22,23,8,0,0,0,1,DF
22,24,7,0,0,1,1,CF
22,25,6,0,0,0,1,ACF
22,26,5,0,0,1,1,MPF
22,27,4,0,0,1,0,DB
22,28,3,0,0,0,0,CB
22,29,2,0,0,0,1,AC
22,30,1,0,0,1,1,MP
22,31,8,0,0,1,0,DF
22,32,7,0,0,0,1,CF
23,1,7,0,0,1,1,CF
23,2,6,0,1,1,1,ACF
23,3,5,0,0,0,1,MPF
23,4,4,0,1,1,1,DB
23,5,3,0,1,0,1,CB
23,6,2,0,1,1,1,AC
23,7,1,0,0,0,1,MP
23,8,8,0,0,1,1,DF
23,9,7,0,0,1,0,CF
23,10,6,0,0,1,1,ACF
23,11,5,0,1,1,1,MPF
23,12,4,0,0,1,1,DB
23,13,3,0,0,0,1,CB
23,14,2,0,0,0,1,AC
23,15,1,0,0,0,1,MP
23,16,8,0,1,0,1,DF
23,17,7,0,0,0,1,CF
23,18,6,0,1,1,1,ACF
23,19,5,0,0,1,1,MPF
23,20,4,0,0,1,0,DB
23,21,3,0,0,0,1,CB
23,22,2,0,1,0,1,AC
23,23,1,0,0,0,1,MP
23,24,8,0,0,0,1,DF
23,25,7,0,0,0,1,CF
23,26,6,0,0,1,1,ACF
23,27,5,0,0,0,1,MPF
23,28,4,0,0,0,1,DB
23,29,3,0,0,0,1,CB
23,30,2,0,0,0,1,AC
23,31,1,0,1,0,1,MP
23,32,8,0,0,0,1,DF
24,1,8,0,0,1,1,DF
24,2,7,0,0,0,0,CF
24,3,6,0,0,1,1,ACF
24,4,5,0,0,0,1,MPF
24,5,4,0,1,0,0,DB
24,6,3,0,1,0,1,CB
24,7,2,0,0,1,1,AC
24,8,1,0,1,1,1,MP
24,9,8,0,0,1,1,DF
24,10,7,0,0,1,0,CF
24,11,6,0,0,1,1,ACF
24,12,5,0,0,1,0,MPF
24,13,4,0,1,0,1,DB
24,14,3,0,0,1,1,CB
24,15,2,0,1,0,1,AC
24,16,1,0,1,1,1,MP
24,17,8,0,0,0,1,DF
24,18,7,0,1,1,1,CF
24,19,6,0,1,1,1,ACF
24,20,5,0,1,0,1,MPF
24,21,4,0,1,0,1,DB
24,22,3,0,0,1,1,CB
24,23,2,0,0,0,1,AC
24,24,1,0,0,0,1,MP
24,25,8,0,0,1,0,DF
24,26,7,0,0,1,0,CF
24,27,6,0,0,1,0,ACF
24,28,5,0,0,1,1,MPF
24,29,4,0,0,1,1,DB
24,30,3,0,0,0,1,CB
24,31,2,0,0,0,1,AC
24,32,1,0,0,1,1,MP
25,1,1,0,1,0,0,MP
25,2,8,0,1,0,1,DF
25,3,7,0,0,1,1,CF
25,4,6,0,0,1,1,ACF
25,5,5,0,0,1,1,MPF
25,6,4,0,1,0,1,DB
25,7,3,0,1,0,1,CB
25,8,2,0,0,0,1,AC
25,9,1,0,1,0,1,MP
25,10,8,0,0,1,0,DF
25,11,7,0,1,1,1,CF
25,12,6,0,1,0,1,ACF
25,13,5,0,1,1,1,MPF
25,14,4,0,1,0,1,DB
25,15,3,0,0,0,1,CB
25,16,2,0,1,0,1,AC
25,17,1,0,1,0,1,MP
25,18,8,0,1,0,1,DF
25,19,7,0,1,0,1,CF
25,20,6,0,1,1,1,ACF
25,21,5,0,0,0,1,MPF
25,22,4,0,0,0,1,DB
25,23,3,0,1,0,1,CB
25,24,2,0,0,1,1,AC
25,25,1,0,0,0,1,MP
25,26,8,0,1,1,1,DF
25,27,7,0,0,1,0,CF
25,28,6,0,0,0,1,ACF
25,29,5,0,1,0,0,MPF
25,30,4,0,0,0,1,DB
25,31,3,0,1,0,1,CB
25,32,2,0,0,0,1,AC
26,1,2,0,1,0,1,AC
