P.s,Item,Cond,Antecedent,Consequent,Premise,Conclusion,CondType
20,7,6,1458,1222,1385,321,ACF
20,8,5,1257,1954,1507,1318,MPF
20,9,4,1943,2184,1988,660,DB
20,10,3,1535,1855,644,399,CB
20,11,2,773,1855,782,695,AC
20,12,1,764,1278,584,627,MP
20,13,8,460,1019,669,1828,DF
20,14,7,752,1557,2291,1314,CF
20,15,6,1544,1950,1475,891,ACF
20,16,5,2723,3405,1774,2045,MPF
20,17,4,402,1202,1230,814,DB
20,18,3,902,1837,834,811,CB
20,19,2,1274,2325,1535,489,AC
20,20,1,1733,1612,1109,661,MP
20,21,8,673,773,632,791,DF
20,22,7,788,2444,1322,734,CF
20,23,6,1719,2587,844,1371,ACF
20,24,5,1246,1835,841,1616,MPF
20,25,4,2134,2294,1923,915,DB
20,26,3,616,594,628,570,CB
20,27,2,550,973,1442,656,AC
20,28,1,1817,1463,561,737,MP
20,29,8,9688,7968,4168,2144,DF
20,30,7,834,2622,1895,810,CF
20,31,6,1157,1639,1983,978,ACF
20,32,5,1582,1901,1787,1561,MPF
21,1,5,3117,2404,1218,1149,MPF
21,2,4,821,2206,1391,1915,DB
21,3,3,1055,1990,679,617,CB
21,4,2,1349,3750,1041,743,AC
21,5,1,1469,3296,2162,1204,MP
21,6,8,2945,6324,6420,4497,DF
21,7,7,3141,7355,4483,3178,CF
21,8,6,5095,3035,4554,1737,ACF
21,9,5,1929,1727,2621,2257,MPF
21,10,4,1592,2711,1021,2546,DB
21,11,3,712,3918,3486,892,CB
21,12,2,2531,4054,1466,505,AC
21,13,1,2253,4367,1106,1086,MP
21,14,8,2752,2090,6204,1074,DF
21,15,7,2589,558,1095,689,CF
21,16,6,2297,2958,2116,1164,ACF
21,17,5,2542,5610,683,744,MPF
21,18,4,485,1945,3091,1949,DB
21,19,3,1751,1917,5655,1403,CB
21,20,2,2751,4034,1215,987,AC
21,21,1,2286,2166,2144,1454,MP
21,22,8,1986,1393,4148,2751,DF
21,23,7,1749,3102,1899,2156,CF
21,24,6,1820,1458,1903,1138,ACF
21,25,5,1286,1622,1010,1932,MPF
21,26,4,1480,4425,1202,2452,DB
21,27,3,1120,3089,2122,3906,CB
21,28,2,2129,3068,1147,564,AC
21,29,1,2309,1981,1104,1475,MP
21,30,8,2095,4089,1835,1749,DF
21,31,7,2079,3624,1130,958,CF
21,32,6,1823,2498,876,802,ACF
22,1,6,2207,2344,1604,239,ACF
22,2,5,934,1411,2301,1710,MPF
22,3,4,1809,1102,607,518,DB
22,4,3,1056,515,420,640,CB
22,5,2,959,614,668,583,AC
22,6,1,1157,703,858,482,MP
22,7,8,1211,1480,978,576,DF
22,8,7,1388,1689,1147,1090,CF
22,9,6,2098,1761,1289,347,ACF
22,10,5,596,454,457,658,MPF
22,11,4,878,672,1066,1205,DB
22,12,3,346,527,352,128,CB
22,13,2,2760,1129,1096,208,AC
22,14,1,1145,1181,443,407,MP
22,15,8,1438,1401,1391,503,DF
22,16,7,1036,1613,1286,609,CF
22,17,6,3479,2555,2410,1954,ACF
22,18,5,730,1967,840,500,MPF
22,19,4,748,1335,966,265,DB
22,20,3,402,373,190,224,CB
22,21,2,1591,1995,322,791,AC
22,22,1,702,792,409,509,MP
